page_id,page_type,category,display_name,slug,url,content_key,reason,candidate_excel_slug
category:경기|성남시 분당구:고등과외,grade,고등과외,성남시 분당구,성남시 분당구,/성남시-분당구고등과외/,성남시-분당구고등과외,excel_slug_missing,
category:경기|성남시 분당구:초등수학과외,subject_grade,초등수학과외,성남시 분당구,성남시 분당구,/성남시-분당구초등수학과외/,성남시-분당구초등수학과외,excel_slug_missing,
category:경기|성남시 분당구:중등수학과외,subject_grade,중등수학과외,성남시 분당구,성남시 분당구,/성남시-분당구중등수학과외/,성남시-분당구중등수학과외,excel_slug_missing,
category:경기|성남시 분당구:고등수학과외,subject_grade,고등수학과외,성남시 분당구,성남시 분당구,/성남시-분당구고등수학과외/,성남시-분당구고등수학과외,excel_slug_missing,
category:경기|성남시 분당구:초등영어과외,subject_grade,초등영어과외,성남시 분당구,성남시 분당구,/성남시-분당구초등영어과외/,성남시-분당구초등영어과외,excel_slug_missing,
category:경기|성남시 분당구:중등영어과외,subject_grade,중등영어과외,성남시 분당구,성남시 분당구,/성남시-분당구중등영어과외/,성남시-분당구중등영어과외,excel_slug_missing,
category:경기|성남시 분당구:고등영어과외,subject_grade,고등영어과외,성남시 분당구,성남시 분당구,/성남시-분당구고등영어과외/,성남시-분당구고등영어과외,excel_slug_missing,
region:경기|수원시 영통구,district,과외,수원시 영통구,수원시 영통구,/경기과외/수원시-영통구과외/,수원시-영통구과외,hub_page_no_content,
category:경기|수원시 영통구:수학과외,subject,수학과외,수원시 영통구,수원시 영통구,/수원시-영통구수학과외/,수원시-영통구수학과외,excel_slug_missing,
category:경기|수원시 영통구:영어과외,subject,영어과외,수원시 영통구,수원시 영통구,/수원시-영통구영어과외/,수원시-영통구영어과외,excel_slug_missing,
category:경기|수원시 영통구:초등과외,grade,초등과외,수원시 영통구,수원시 영통구,/수원시-영통구초등과외/,수원시-영통구초등과외,excel_slug_missing,
category:경기|수원시 영통구:중등과외,grade,중등과외,수원시 영통구,수원시 영통구,/수원시-영통구중등과외/,수원시-영통구중등과외,excel_slug_missing,
category:경기|수원시 영통구:고등과외,grade,고등과외,수원시 영통구,수원시 영통구,/수원시-영통구고등과외/,수원시-영통구고등과외,excel_slug_missing,
category:경기|수원시 영통구:초등수학과외,subject_grade,초등수학과외,수원시 영통구,수원시 영통구,/수원시-영통구초등수학과외/,수원시-영통구초등수학과외,excel_slug_missing,
category:경기|수원시 영통구:중등수학과외,subject_grade,중등수학과외,수원시 영통구,수원시 영통구,/수원시-영통구중등수학과외/,수원시-영통구중등수학과외,excel_slug_missing,
category:경기|수원시 영통구:고등수학과외,subject_grade,고등수학과외,수원시 영통구,수원시 영통구,/수원시-영통구고등수학과외/,수원시-영통구고등수학과외,excel_slug_missing,
category:경기|수원시 영통구:초등영어과외,subject_grade,초등영어과외,수원시 영통구,수원시 영통구,/수원시-영통구초등영어과외/,수원시-영통구초등영어과외,excel_slug_missing,
category:경기|수원시 영통구:중등영어과외,subject_grade,중등영어과외,수원시 영통구,수원시 영통구,/수원시-영통구중등영어과외/,수원시-영통구중등영어과외,excel_slug_missing,
category:경기|수원시 영통구:고등영어과외,subject_grade,고등영어과외,수원시 영통구,수원시 영통구,/수원시-영통구고등영어과외/,수원시-영통구고등영어과외,excel_slug_missing,
region:강원|춘천시,district,과외,춘천시,춘천시,/강원과외/춘천시과외/,춘천시과외,hub_page_no_content,
category:강원|춘천시:수학과외,subject,수학과외,춘천시,춘천시,/춘천시수학과외/,춘천시수학과외,excel_slug_missing,
category:강원|춘천시:영어과외,subject,영어과외,춘천시,춘천시,/춘천시영어과외/,춘천시영어과외,excel_slug_missing,
category:강원|춘천시:초등과외,grade,초등과외,춘천시,춘천시,/춘천시초등과외/,춘천시초등과외,excel_slug_missing,
category:강원|춘천시:중등과외,grade,중등과외,춘천시,춘천시,/춘천시중등과외/,춘천시중등과외,excel_slug_missing,
category:강원|춘천시:고등과외,grade,고등과외,춘천시,춘천시,/춘천시고등과외/,춘천시고등과외,excel_slug_missing,
category:강원|춘천시:초등수학과외,subject_grade,초등수학과외,춘천시,춘천시,/춘천시초등수학과외/,춘천시초등수학과외,excel_slug_missing,
category:강원|춘천시:중등수학과외,subject_grade,중등수학과외,춘천시,춘천시,/춘천시중등수학과외/,춘천시중등수학과외,excel_slug_missing,
category:강원|춘천시:고등수학과외,subject_grade,고등수학과외,춘천시,춘천시,/춘천시고등수학과외/,춘천시고등수학과외,excel_slug_missing,
category:강원|춘천시:초등영어과외,subject_grade,초등영어과외,춘천시,춘천시,/춘천시초등영어과외/,춘천시초등영어과외,excel_slug_missing,
category:강원|춘천시:중등영어과외,subject_grade,중등영어과외,춘천시,춘천시,/춘천시중등영어과외/,춘천시중등영어과외,excel_slug_missing,
